date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-01-18 11:35,-38.93,0.00,38.89,0.00,81.00,0.00,0.10,0.00,0.00,179.80,5.18,1442.17,20.33,0.00,2.85,0.00,4.78,0.00,0.01,0.00,33.65,-83.04
2024-01-18 11:40,-62.25,0.00,90.12,0.00,80.00,0.00,0.10,0.00,0.00,142.80,5.17,1458.33,20.37,0.00,6.46,0.00,4.72,0.00,0.01,0.00,33.67,-60.80
2024-01-18 11:45,-49.21,0.00,43.24,0.00,90.00,0.00,0.08,0.00,0.44,133.40,5.19,1474.50,20.40,0.00,2.99,0.00,5.31,0.00,0.01,0.00,37.48,-58.19
2024-01-18 11:50,-25.78,0.00,36.77,0.00,83.00,0.00,0.10,0.00,0.21,129.10,6.98,1490.67,20.43,0.00,2.72,0.00,4.90,0.00,0.01,0.00,34.44,-65.00
2024-01-18 11:55,-64.75,0.00,55.86,0.00,79.00,0.00,0.10,0.00,0.00,130.50,6.31,1506.83,20.47,0.00,4.21,0.00,4.67,0.00,0.01,0.00,32.55,-100.30
2024-01-18 12:00,-29.41,0.00,14.56,0.00,79.00,0.00,0.10,0.00,0.00,122.90,5.31,1523.00,20.50,0.00,0.45,0.00,4.67,0.00,0.01,0.00,32.40,-85.27
2024-01-18 12:05,-16.12,-22.51,0.00,0.00,91.00,0.00,0.10,0.00,4.10,131.20,5.23,1531.83,20.63,0.52,0.00,0.00,5.37,0.00,0.01,0.00,36.61,-57.62
2024-01-18 12:10,-15.72,-52.76,0.00,0.00,88.00,0.00,0.10,0.00,1.43,141.60,8.62,1540.67,20.77,1.15,0.00,0.00,5.20,0.00,0.01,0.00,35.07,-57.02
2024-01-18 12:15,-16.23,-55.76,0.00,0.00,86.00,0.00,0.10,0.00,1.53,127.90,12.09,1549.50,20.90,1.25,0.00,0.00,5.08,0.00,0.01,0.00,34.34,-57.01
2024-01-18 12:20,-29.45,-29.97,0.00,0.00,79.00,0.00,0.10,0.00,0.00,127.40,12.10,1558.33,21.03,0.64,0.00,0.00,4.67,0.00,0.01,0.00,31.55,-56.71
