Country,TWh,Population
Canada,659.6,38929902
US,4547.7,333287557
Brazil,677.2,215313498
Chile,89.3,19603733
Austria,68.5,9042528
Belgium,95.2,11669446
Denmark,34.3,5903037
France,467.7,67935660
Germany,577.3,84079811
Greece,50.8,10566531
Italy,287.3,58856847
Netherlands,122,17703090
Poland,179.1,37561599
Portugal,48.7,10379007
Romania,54,18956666
Spain,293.7,47615034
Sweden,172.7,10486941
United Kingdom,326,66971411
Australia,273.6,25978935
China,8848.7,1412175000
