date,Exports -  GWh,Imports -  GWh,Gas (OCGT) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Gas (OCGT) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-06-21,-6.54,0.41,0.63,40.21,0.71,0.47,9.80,5.17,2.30,84.95,325.60,415.60,18.29,85.17,41102.00,3414456.00,56397.00,42339.00
2023-06-22,-5.25,0.05,0.51,38.97,2.72,0.19,7.60,5.62,2.80,64.53,35.80,337.10,8.29,91.60,41394.00,3591093.00,240298.00,20944.00
2023-06-23,-6.31,0.00,0.30,39.24,1.39,0.14,11.60,10.34,7.50,43.04,0.00,198.90,4.48,69.92,18453.00,2773200.00,78957.00,12691.00
2023-06-24,-0.43,6.83,0.00,20.18,5.42,0.35,14.30,10.32,7.30,0.00,4110.00,0.00,127.06,1.24,0.00,53187.00,3076.00,130.50
2023-06-25,-0.21,8.19,0.00,17.18,7.69,0.29,14.00,9.07,5.70,0.00,4754.00,0.00,143.47,5.20,0.00,218666.00,4204.00,-1528.00
2023-06-26,-3.80,3.08,0.00,26.91,8.14,0.43,12.60,9.79,6.40,0.00,1813.00,0.00,52.16,31.49,0.00,1044028.00,239308.00,3085.00
2023-06-27,-9.21,0.00,0.15,35.39,8.56,0.43,14.10,11.14,9.40,20.77,0.00,101.40,2.28,52.51,8514.00,1869414.00,434386.00,19569.00
2023-06-28,-9.00,0.00,0.58,37.33,6.13,0.56,9.90,7.46,4.70,82.60,0.00,382.70,8.43,64.05,34265.00,2400224.00,358297.00,34996.00
2023-06-29,-7.02,0.11,0.10,31.23,10.30,0.30,11.70,8.62,6.00,13.17,66.28,63.81,3.34,53.38,5748.00,1622841.00,560708.00,6195.00
2023-06-30,-9.70,0.00,0.00,33.30,10.19,0.48,15.30,11.25,9.10,0.00,0.00,0.00,0.00,29.45,0.00,1007906.00,259821.00,8490.00
2023-07-01,-9.56,0.00,0.00,36.88,6.46,0.40,12.80,9.79,8.00,0.00,0.00,0.00,0.00,43.59,0.00,1620628.00,249715.00,17788.00
2023-07-02,-9.82,0.00,0.14,38.87,3.87,0.58,15.80,10.56,6.10,19.25,0.00,89.96,2.10,50.46,7437.00,1968510.00,185585.00,29535.00
