date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-05-08 09:45,-0.50,-44.58,0.00,-0.10,59.00,245.40,28.30,0.00,1.22,521.20,189.90,528.55,19.50,0.64,0.00,0.00,3.48,9.69,1.89,0.00,113.18,143.10
2024-05-08 09:50,-0.75,-46.81,0.00,-0.10,61.00,238.60,0.09,0.00,0.79,519.70,193.70,557.23,19.53,0.60,0.00,0.00,3.60,9.42,0.01,0.00,97.90,112.40
2024-05-08 09:55,-15.39,-66.90,0.00,-0.10,57.00,234.00,0.10,0.00,0.00,515.00,196.70,585.92,19.57,0.84,0.00,0.00,3.37,9.23,0.01,0.00,93.74,103.90
2024-05-08 10:00,-1.77,-129.50,0.00,0.00,60.00,238.00,0.10,0.00,0.06,532.40,201.80,614.60,19.60,0.75,0.00,0.00,3.54,9.39,0.01,0.00,96.53,104.20
2024-05-08 10:05,-24.40,-113.90,0.00,-0.10,56.00,234.60,0.09,0.00,0.00,525.30,204.50,640.70,19.72,1.40,0.00,0.00,3.31,9.26,0.01,0.00,88.04,133.70
2024-05-08 10:10,-23.69,-61.67,0.00,0.00,45.00,181.60,0.10,0.00,6.84,524.50,209.20,666.80,19.83,0.63,0.00,0.00,2.66,7.17,0.01,0.00,71.34,135.70
2024-05-08 10:15,-67.28,-15.49,0.00,-0.10,40.00,169.50,0.10,0.00,0.00,525.70,214.90,692.90,19.95,0.15,0.00,0.00,2.36,6.69,0.01,0.00,68.56,31.66
2024-05-08 10:20,-11.61,-102.20,0.00,-0.10,44.00,170.90,0.10,0.00,2.26,535.10,219.30,719.00,20.07,0.98,0.00,0.00,2.60,6.75,0.01,0.00,63.68,130.00
2024-05-08 10:25,-30.17,-108.30,0.00,-0.10,44.00,172.90,0.10,0.00,3.23,528.60,226.20,745.10,20.18,1.05,0.00,0.00,2.60,6.83,0.01,0.00,63.61,99.56
2024-05-08 10:30,-13.90,-127.80,0.00,-0.10,40.00,164.80,0.10,0.00,0.17,526.00,233.90,771.20,20.30,0.46,0.00,0.00,2.36,6.51,0.01,0.00,63.37,49.62
2024-05-08 10:35,-40.43,-152.40,0.00,-0.10,43.00,170.20,0.10,0.00,4.55,543.50,238.00,794.50,20.37,1.41,0.00,0.00,2.54,6.72,0.01,0.00,58.86,86.28
2024-05-08 10:40,-61.69,-133.00,0.00,-0.10,40.00,166.80,0.10,0.00,3.34,552.60,244.90,817.80,20.43,1.18,0.00,0.00,2.36,6.59,0.01,0.00,57.20,95.04
2024-05-08 10:45,-63.20,-167.70,0.00,-0.10,40.00,166.80,0.10,0.00,2.23,559.50,266.90,841.10,20.50,1.45,0.00,0.00,2.36,6.59,0.01,0.00,54.73,-14.50
2024-05-08 10:50,-69.31,-191.00,0.00,-0.10,42.00,170.20,0.09,0.00,21.01,548.00,260.50,864.40,20.57,1.69,0.00,0.00,2.48,6.72,0.01,0.00,54.81,-14.50
2024-05-08 10:55,-75.14,-170.80,0.00,-0.10,42.00,167.50,0.10,0.00,0.17,561.60,255.60,887.70,20.63,1.51,0.00,0.00,2.48,6.61,0.01,0.00,54.56,-14.50
2024-05-08 11:00,-47.91,-228.60,0.00,-0.10,39.00,166.80,0.10,0.00,0.00,566.50,263.40,911.00,20.70,0.72,0.00,0.00,2.30,6.59,0.01,0.00,58.73,-14.50
