date,Battery (Charging) -  GWh,Exports -  GWh,Imports -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Battery (Discharging) -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Temperature Max - C,Temperature Mean - C,Temperature Min - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Exports Market Value - AUD,Imports Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Battery (Discharging) Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2022-12-16,-0.30,-4.42,0.14,0.00,1.96,0.00,0.00,0.00,0.27,23.33,2.69,12.80,22.00,16.44,11.20,6.20,110.30,2.24,1391.00,0.00,3.39,0.00,34.01,5.29,-12152.00,-175372.00,-3349.00,-12.17,-23568.00,0.00,-44.57,0.00,-5649.00,103783.00,-141717.00,-726569.00
2022-12-17,-0.13,-4.46,0.35,0.00,1.97,0.00,0.00,0.00,0.09,22.12,1.83,13.06,27.50,19.99,14.40,15.58,245.80,0.00,1394.00,0.00,3.40,0.00,35.76,-7.33,-5595.00,-211132.00,-5169.00,0.00,-56651.00,0.00,-108.30,0.00,-1605.00,-232572.00,-116689.00,-1025417.00
2022-12-18,-0.14,-5.79,0.66,0.00,1.97,0.00,0.00,0.00,0.11,28.13,0.60,10.70,29.60,23.68,18.50,51.39,543.10,0.00,1394.00,0.00,3.38,0.00,33.66,-28.09,-5283.00,-219614.00,17071.00,0.00,-75823.00,0.00,-145.40,0.00,-665.10,-812764.00,-26125.00,-737743.00
2022-12-19,-0.21,-5.56,4.74,0.00,1.70,2.62,0.23,0.43,0.18,26.42,1.38,12.15,32.60,27.64,23.50,1042.00,3305.00,0.00,1203.00,1243.00,198.60,377.60,67.00,24.78,-4201.00,-105200.00,-231446.00,0.00,17865.00,223992.00,24146.00,41566.00,12933.00,215463.00,-7786.00,-89596.00
2022-12-20,-0.25,-2.88,2.10,0.00,1.15,3.59,1.17,0.00,0.10,27.34,2.46,6.08,29.40,25.46,19.30,291.50,1784.00,0.00,812.00,1702.00,988.90,0.00,83.61,21.96,-823.80,8986.00,2499.00,0.00,8993.00,70399.00,-8879.00,0.00,911.60,290890.00,-71043.00,1330284.00
2022-12-21,-0.18,-0.57,8.88,0.00,1.28,6.86,0.55,0.00,0.16,12.22,2.50,7.62,27.30,23.23,19.70,1987.00,7591.00,0.00,909.00,3248.00,461.00,0.00,148.08,76.51,6535.00,32625.00,-568677.00,0.00,108847.00,607936.00,71611.00,0.00,17407.00,938932.00,136432.00,494323.00
2022-12-22,-0.21,-2.37,6.28,0.00,1.78,6.01,0.21,0.00,0.17,10.47,3.11,12.75,24.30,20.41,15.50,2010.00,6252.00,0.00,1260.00,2849.00,187.40,0.00,124.53,88.93,2077.00,-79798.00,-650725.00,0.00,101240.00,670636.00,20575.00,0.00,16701.00,681300.00,-67880.00,-308190.00
2022-12-23,-0.19,-1.63,4.23,0.00,1.50,5.72,0.34,0.00,0.12,9.55,3.67,12.71,23.70,17.95,11.80,1005.00,4227.00,0.00,1061.00,2710.00,263.30,0.00,120.03,82.99,-357.80,-55057.00,-374215.00,0.00,68151.00,568457.00,37754.00,0.00,9393.00,799504.00,-12887.00,-61750.00
2022-12-24,-0.20,-1.52,7.71,0.00,1.50,5.55,0.50,0.00,0.21,5.29,3.42,12.86,24.80,18.68,12.10,2520.00,7652.00,0.00,1067.00,2631.00,418.90,0.00,140.31,104.13,-731.70,-38302.00,-815863.00,0.00,84551.00,704121.00,61317.00,0.00,24272.00,442276.00,30184.00,-75036.00
2022-12-25,-0.18,-0.90,4.19,0.00,1.52,5.47,0.12,0.00,0.09,11.70,2.75,12.34,32.30,24.08,14.00,1011.00,3809.00,0.01,1077.00,2591.00,143.10,0.00,112.15,78.22,-1634.00,-40253.00,-425334.00,1.43,57201.00,556809.00,15895.00,0.00,8730.00,721506.00,11635.00,-127721.00
