date,Battery (Charging) -  GWh,Pumps -  GWh,Coal (Brown) -  GWh,Coal (Black) -  GWh,Bioenergy (Biogas) -  GWh,Bioenergy (Biomass) -  GWh,Distillate -  GWh,Gas (Steam) -  GWh,Gas (CCGT) -  GWh,Gas (OCGT) -  GWh,Gas (Reciprocating) -  GWh,Gas (Waste Coal Mine) -  GWh,Battery (Discharging) -  GWh,Hydro -  GWh,Wind -  GWh,Solar (Utility) -  GWh,Solar (Rooftop) -  GWh,Coal (Brown) Emissions Vol - tCO₂e,Coal (Black) Emissions Vol - tCO₂e,Bioenergy (Biogas) Emissions Vol - tCO₂e,Bioenergy (Biomass) Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Gas (Waste Coal Mine) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Volume Weighted Price - AUD/MWh,Battery (Charging) Market Value - AUD,Pumps Market Value - AUD,Coal (Brown) Market Value - AUD,Coal (Black) Market Value - AUD,Bioenergy (Biogas) Market Value - AUD,Bioenergy (Biomass) Market Value - AUD,Distillate Market Value - AUD,Gas (Steam) Market Value - AUD,Gas (CCGT) Market Value - AUD,Gas (OCGT) Market Value - AUD,Gas (Reciprocating) Market Value - AUD,Gas (Waste Coal Mine) Market Value - AUD,Battery (Discharging) Market Value - AUD,Hydro Market Value - AUD,Wind Market Value - AUD,Solar (Utility) Market Value - AUD,Solar (Rooftop) Market Value - AUD
2023-05-28,-1.19,-11.43,98.52,250.40,0.00,0.00,0.00,0.57,13.69,4.90,0.51,1.22,0.78,36.98,109.60,26.73,38.79,118100.00,230510.00,0.00,0.00,0.00,403.50,8026.00,3647.00,449.40,859.90,635.00,93.92,18998.00,912781.00,5966035.00,28224827.00,0.00,0.00,0.00,6886.00,1949288.00,946509.00,119147.00,112387.00,134028.00,3478476.00,6575644.00,1017541.00,1194411.00
2023-05-29,-1.31,-6.29,100.80,244.40,0.00,0.00,0.13,1.08,25.68,7.60,0.90,1.37,1.09,41.16,110.10,30.30,43.76,121144.00,225070.00,0.00,0.00,147.30,763.80,14133.00,5706.00,784.90,972.60,613.75,106.46,41537.00,203430.00,6496928.00,29644438.00,0.00,0.00,41246.00,275213.00,5183936.00,1810255.00,211903.00,153751.00,213814.00,3817531.00,8832712.00,1213443.00,1103144.00
2023-05-30,-1.54,-5.62,98.49,247.60,0.00,0.00,0.25,2.06,35.26,11.75,0.97,1.44,1.30,40.00,93.11,28.58,40.44,118417.00,228624.00,0.00,0.00,287.10,1459.00,19640.00,9259.00,845.00,1014.00,638.86,342.83,131114.00,341549.00,2878279.00,117064428.00,0.00,0.00,170893.00,572879.00,18065217.00,12165973.00,308161.00,580977.00,767264.00,18049166.00,12903020.00,2182289.00,3157528.00
2023-05-31,-1.35,-5.16,81.68,256.70,0.00,0.00,0.38,0.70,24.52,6.62,0.18,1.43,1.05,29.20,134.30,23.82,35.68,98297.00,235916.00,0.00,0.00,384.10,495.20,14501.00,4633.00,153.30,1008.00,602.61,85.67,32328.00,336315.00,-124426.00,30856110.00,0.00,0.00,87913.00,85080.00,3263738.00,1050379.00,28799.00,169249.00,100984.00,3331231.00,4669506.00,1509323.00,1806394.00
2023-06-01,-1.25,-6.89,100.20,257.70,0.00,0.19,0.00,2.10,29.12,13.46,1.90,1.48,1.10,48.77,64.41,31.96,38.93,120566.00,237280.00,0.00,34.27,6.54,1488.00,16397.00,10185.00,1663.00,1044.00,666.45,128.35,64686.00,396844.00,10505270.00,35541455.00,0.00,40357.00,1327.00,487499.00,5897415.00,3200801.00,480703.00,169381.00,202246.00,6167919.00,3763812.00,1972911.00,2515792.00
2023-06-02,-1.35,-2.38,101.00,271.40,0.00,0.44,0.06,0.06,28.30,9.22,1.63,1.50,1.12,65.78,42.96,28.08,38.57,121827.00,249782.00,0.00,79.91,65.27,43.07,15184.00,6356.00,1425.00,1055.00,674.99,138.71,159745.00,145835.00,14731466.00,37526768.00,0.00,59381.00,10061.00,10622.00,4611517.00,1793234.00,335849.00,177968.00,214636.00,6995091.00,6046218.00,2385267.00,3136000.00
2023-06-03,-1.08,-3.98,101.00,258.00,0.00,0.38,0.01,0.00,18.07,2.35,0.23,1.51,0.89,47.07,53.93,28.81,34.71,121678.00,237293.00,0.00,67.81,7.47,0.00,10050.00,1632.00,201.70,1063.00,686.48,94.95,63906.00,296953.00,8360964.00,27146590.00,0.00,39509.00,306.10,0.00,1838388.00,349557.00,37385.00,145827.00,127716.00,3475360.00,4249931.00,2137044.00,2626157.00
2023-06-04,-1.12,-2.00,96.40,236.60,0.00,0.39,0.00,0.97,9.00,2.52,0.00,1.48,0.92,34.34,111.40,20.27,26.63,115769.00,216515.00,0.00,69.64,0.00,684.20,5679.00,1937.00,0.00,1039.00,635.36,68.69,17409.00,141124.00,3291370.00,20639588.00,0.00,35885.00,0.00,22082.00,963441.00,264415.00,0.00,128441.00,65132.00,1901137.00,5344595.00,1376943.00,1437886.00
2023-06-05,-1.18,-1.03,92.88,253.70,0.00,0.34,0.21,0.23,18.15,3.55,0.12,1.46,0.87,42.24,129.80,13.68,26.88,110876.00,232887.00,0.00,60.30,209.20,160.00,9753.00,2624.00,101.30,1026.00,614.72,79.00,39552.00,67824.00,4943051.00,23176520.00,0.00,30025.00,27860.00,3454.00,1819629.00,418334.00,16657.00,129476.00,84759.00,3056521.00,8080965.00,1189962.00,2142164.00
2023-06-06,-2.11,-0.98,89.92,252.10,0.00,0.33,0.32,1.11,18.36,4.70,0.79,1.40,1.61,45.69,113.40,20.92,32.36,107374.00,232135.00,0.00,58.74,316.60,789.30,10564.00,3435.00,689.60,985.30,614.49,88.15,57110.00,80183.00,4920096.00,27172270.00,0.00,29635.00,47658.00,43837.00,2079847.00,718978.00,41179.00,133776.00,150992.00,3992896.00,5508356.00,1748357.00,2549485.00
