date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-01-03 17:05,-15.97,-391.00,0.00,0.00,0.00,482.50,0.09,78.46,0.14,1099.00,123.20,419.67,21.47,0.00,53.21
2024-01-03 17:10,-5.36,-373.10,0.00,0.00,0.00,482.50,0.09,79.26,0.87,1089.00,114.90,400.53,21.53,0.00,53.35
2024-01-03 17:15,-0.06,-363.10,0.00,0.00,0.00,482.20,0.10,81.44,5.07,1107.00,96.93,381.40,21.60,0.00,54.75
2024-01-03 17:20,-0.01,-354.10,0.00,0.00,0.00,493.80,0.10,81.85,12.97,1083.00,87.08,362.27,21.67,0.00,54.86
2024-01-03 17:25,-0.06,-328.30,0.00,0.00,0.00,485.30,0.09,80.32,0.98,1099.00,81.60,343.13,21.73,0.00,57.74
2024-01-03 17:30,-0.09,-287.40,0.00,0.00,0.00,482.70,0.10,81.25,3.96,1093.00,75.07,324.00,21.80,0.00,66.56
2024-01-03 17:35,-0.01,-291.50,0.00,0.00,0.00,493.80,0.10,82.49,14.09,1076.00,82.60,306.77,21.93,0.00,66.56
2024-01-03 17:40,-0.02,-277.00,0.00,0.00,0.00,492.60,0.10,82.31,10.99,1048.00,97.63,289.53,22.07,0.00,73.92
2024-01-03 17:45,-0.02,-237.90,0.00,0.00,0.00,505.80,0.08,82.83,11.42,1003.00,106.00,272.30,22.20,0.00,82.46
2024-01-03 17:50,-0.05,-224.40,0.00,0.00,0.00,511.20,0.10,80.61,12.42,989.80,98.85,255.07,22.33,0.00,91.62
2024-01-03 17:55,-1.00,-256.90,0.00,0.00,0.00,537.40,0.09,79.03,27.83,1009.00,84.35,237.83,22.47,0.00,93.09
2024-01-03 18:00,-0.01,-284.80,0.00,0.00,0.00,561.10,0.10,80.72,63.95,978.40,68.84,220.60,22.60,0.00,103.80
2024-01-03 18:05,-0.11,-288.00,0.00,0.00,0.00,551.90,0.11,184.60,43.71,921.60,62.09,209.50,22.47,0.00,102.10
2024-01-03 18:10,-0.15,-293.80,0.00,0.00,0.00,559.90,0.09,191.50,79.91,880.70,59.84,198.40,22.33,0.00,105.80
2024-01-03 18:15,-0.29,-242.20,0.00,0.00,0.00,554.20,0.09,190.60,76.64,858.50,58.91,187.30,22.20,0.00,99.21
2024-01-03 18:20,-0.12,-148.50,0.00,0.00,0.00,555.90,0.09,78.69,91.29,854.00,57.51,176.20,22.07,0.00,99.98
2024-01-03 18:25,-0.24,-163.00,0.00,0.00,0.00,556.80,0.10,100.40,95.01,873.90,54.39,165.10,21.93,0.00,99.98
2024-01-03 18:30,-0.18,-208.80,0.00,0.00,0.00,553.80,0.10,158.90,93.08,860.40,51.65,154.00,21.80,0.00,99.98
2024-01-03 18:35,0.00,-275.80,0.00,0.00,0.00,574.30,0.10,151.00,129.90,887.00,50.34,142.62,21.67,0.00,100.60
2024-01-03 18:40,-0.01,-258.00,0.00,0.00,0.00,556.00,0.10,176.10,109.50,886.70,44.91,131.24,21.53,0.00,107.00
2024-01-03 18:45,-0.02,-247.90,0.00,0.00,0.00,554.00,0.09,191.90,96.94,888.50,40.92,119.86,21.40,0.00,107.90
2024-01-03 18:50,-0.01,-261.30,0.00,0.00,0.00,555.30,0.10,191.70,101.90,886.00,40.86,108.47,21.27,0.00,121.30
2024-01-03 18:55,-0.01,-268.00,0.00,0.00,0.00,563.00,0.10,192.90,102.60,890.70,39.71,97.09,21.13,0.00,117.70
2024-01-03 19:00,-0.01,-255.80,0.00,0.00,0.00,557.30,0.11,192.90,78.07,908.90,38.36,85.71,21.00,0.00,105.90
2024-01-03 19:05,-0.01,-289.20,0.00,0.00,0.00,561.40,0.09,193.60,112.70,916.20,35.02,77.53,20.95,0.00,107.40
2024-01-03 19:10,-0.01,-260.20,0.00,0.00,0.00,553.50,0.10,191.70,106.70,919.10,29.89,69.34,20.90,0.00,116.20
2024-01-03 19:15,-0.01,-253.50,0.00,0.00,0.00,556.50,0.10,192.30,115.80,900.90,24.57,61.16,20.85,0.00,120.80
