date,Battery (Charging) -  MW,Exports -  MW,Imports -  MW,Distillate -  MW,Gas (Steam) -  MW,Gas (CCGT) -  MW,Gas (OCGT) -  MW,Gas (Reciprocating) -  MW,Battery (Discharging) -  MW,Wind -  MW,Solar (Utility) -  MW,Solar (Rooftop) -  MW,Temperature - C,Exports Emissions Vol - tCO₂e,Imports Emissions Vol - tCO₂e,Distillate Emissions Vol - tCO₂e,Gas (Steam) Emissions Vol - tCO₂e,Gas (CCGT) Emissions Vol - tCO₂e,Gas (OCGT) Emissions Vol - tCO₂e,Gas (Reciprocating) Emissions Vol - tCO₂e,Emissions Intensity - kgCO₂e/MWh,Price - AUD/MWh
2024-03-05 14:10,-28.61,0.00,312.30,0.00,80.00,16.60,0.10,0.00,0.00,65.32,455.10,1386.33,33.10,0.00,24.34,0.00,4.72,0.75,0.01,0.00,156.48,37.73
2024-03-05 14:15,-4.42,0.00,195.10,0.00,81.00,16.22,0.10,0.00,11.14,60.31,524.10,1379.50,33.20,0.00,15.22,0.00,4.78,0.74,0.01,0.00,110.01,37.02
2024-03-05 14:20,-2.33,0.00,202.90,0.00,80.00,16.37,0.09,0.00,3.43,71.90,530.30,1372.67,33.30,0.00,15.84,0.00,4.72,0.74,0.01,0.00,112.41,37.02
2024-03-05 14:25,-6.26,0.00,229.70,0.00,80.00,16.30,0.10,8.27,5.73,72.87,525.30,1365.83,33.40,0.00,17.90,0.00,4.72,0.74,0.01,0.60,125.20,19.79
2024-03-05 14:30,-0.32,0.00,186.00,0.00,85.00,16.80,0.10,8.56,29.12,82.04,528.10,1359.00,33.50,0.00,7.11,0.00,5.02,0.76,0.01,0.62,70.71,37.20
2024-03-05 14:35,-0.40,0.00,249.60,0.00,82.00,16.77,0.09,6.65,12.07,78.12,528.30,1346.50,33.40,0.00,19.68,0.00,4.84,0.76,0.01,0.48,133.33,52.73
2024-03-05 14:40,-21.15,0.00,266.40,0.00,80.00,16.45,0.09,8.51,1.00,87.02,526.90,1334.00,33.30,0.00,21.07,0.00,4.72,0.75,0.01,0.62,141.79,47.84
2024-03-05 14:45,-3.00,0.00,276.40,0.00,80.00,16.25,0.10,8.45,3.32,90.85,532.90,1321.50,33.20,0.00,22.00,0.00,4.72,0.74,0.01,0.62,144.84,52.21
2024-03-05 14:50,-5.67,0.00,288.70,0.00,79.00,16.05,0.09,15.75,5.77,83.52,522.80,1309.00,33.10,0.00,23.14,0.00,4.67,0.73,0.01,1.15,153.89,50.43
2024-03-05 14:55,-0.25,0.00,324.40,0.00,85.00,16.72,0.10,16.19,12.69,94.55,470.00,1296.50,33.00,0.00,25.97,0.00,5.02,0.76,0.01,1.18,170.65,57.42
2024-03-05 15:00,-3.78,0.00,434.90,0.00,80.00,16.50,0.09,16.10,8.00,111.00,395.30,1284.00,32.90,0.00,17.90,0.00,4.72,0.75,0.01,1.17,125.80,63.99
2024-03-05 15:05,-13.32,0.00,479.60,0.00,80.00,16.27,0.10,15.99,0.25,131.00,378.00,1268.50,33.00,0.00,37.68,0.00,4.72,0.74,0.01,1.17,225.68,21.50
2024-03-05 15:10,-16.44,0.00,434.90,0.00,81.00,16.12,0.10,16.14,0.05,134.80,429.70,1253.00,33.10,0.00,34.16,0.00,4.78,0.73,0.01,1.18,208.69,139.40
2024-03-05 15:15,-74.47,0.00,419.20,0.00,81.00,25.17,16.66,15.95,0.43,147.70,488.80,1237.50,33.20,0.00,33.29,0.00,4.78,1.14,1.86,1.16,214.96,39.14
